銘柄コード,銘柄名,市場区分,業種,年間配当金,年間配当回数,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,2026/08/15 06:30:31
1301,極洋,プライム（内国株式）,水産・農林業,150,1,0,0,0,0,0,150,0,0,0,0,0,0,4660
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ETF・ETN,ETF・他,79.4,1,0,0,0,0,0,0,79.4,0,0,0,0,0,4398
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,ETF・他,7.9,1,0,0,0,0,0,0,7.9,0,0,0,0,0,435.399994
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,ETF・他,80,1,0,0,0,0,0,0,80,0,0,0,0,0,4298
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,ETF・他,,,0,0,0,0,0,0,0,0,0,0,0,0,55900
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,,,0,0,0,0,0,0,0,0,0,0,0,0,430
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ETF・ETN,ETF・他,48,1,0,0,0,0,0,0,48,0,0,0,0,0,2175
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ETF・ETN,ETF・他,13.733,1,0,0,0,0,0,0,13.733,0,0,0,0,0,750.099976
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ETF・ETN,ETF・他,800,1,0,0,0,0,0,0,800,0,0,0,0,0,70460
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ETF・ETN,ETF・他,812,1,0,0,0,0,0,0,812,0,0,0,0,0,70730
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,ETF・他,,,0,0,0,0,0,0,0,0,0,0,0,0,11975
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,ETF・他,12.1,1,0,0,0,0,0,0,12.1,0,0,0,0,0,271.100006
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,ETF・他,,,0,0,0,0,0,0,0,0,0,0,0,0,64200
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ETF・ETN,ETF・他,,,0,0,0,0,0,0,0,0,0,0,0,0,16485
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,ETF・他,86,2,0,44,0,0,0,0,0,42,0,0,0,0,7080
1330,上場インデックスファンド２２５,ETF・ETN,ETF・他,829,1,0,0,0,0,0,0,829,0,0,0,0,0,70870
1332,ニッスイ,プライム（内国株式）,水産・農林業,32,2,0,0,0,0,0,16,0,0,0,0,0,16,1264.5
1333,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,44.67,2,0,0,0,0,0,22.335,0,0,0,0,0,22.335,1282.5
133A,グローバルＸ　超短期米国債　ＥＴＦ,ETF・ETN,ETF・他,33,6,3,0,7,0,4,0,7,0,5,0,7,0,1079
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ETF・ETN,ETF・他,92.9,4,0,25.5,0,0,23.7,0,0,20.6,0,0,23.1,0,1948
