code,dividend,count,record_months,fetched_date
1301,160.0,1,3,2026-07-07
1332,32.0,2,3;9,2026-07-07
1333,45.0,2,3;9,2026-07-07
1375,20.0,2,3;9,2026-07-07
1376,38.0,2,5;11,2026-07-07
1377,75.0,2,5;11,2026-07-07
1379,62.0,2,3;9,2026-07-07
1380,10.0,1,3,2026-07-07
1381,112.5,1,6,2026-07-07
1382,50.0,1,6,2026-07-07
1383,10.0,1,10,2026-07-07
1384,80.0,1,3,2026-07-07
138A,48.0,1,11,2026-07-07
1401,13.0,1,5,2026-07-07
1407,70.0,2,2;8,2026-07-07
1414,182.0,2,6;12,2026-07-07
1417,95.0,2,3;9,2026-07-07
1418,30.0,2,2;8,2026-07-07
1419,196.0,1,5,2026-07-07
141A,16.0,1,6,2026-07-07
1420,25.0,1,3,2026-07-07
1429,35.0,1,12,2026-07-07
1430,44.0,1,5,2026-07-07
1431,6.4,2,6;12,2026-07-07
1433,40.0,2,1;7,2026-07-07
1434,48.0,1,8,2026-07-07
1435,2.0,2,6;12,2026-07-07
1436,6.0,1,4,2026-07-07
1438,40.0,2,3;9,2026-07-07
1443,1.1,1,3,2026-07-07
1446,10.0,1,9,2026-07-07
1447,4.8,1,3,2026-07-07
1450,55.0,1,3,2026-07-07
146A,94.0,1,12,2026-07-07
1491,34.0,1,3,2026-07-07
1514,15.0,1,3,2026-07-07
1515,62.0,2,3;9,2026-07-07
1518,74.0,2,3;9,2026-07-07
153A,5.5,1,12,2026-07-07
156A,26.1,1,8,2026-07-07
157A,10.0,1,6,2026-07-07
1605,108.0,2,6;12,2026-07-07
160A,80.0,1,3,2026-07-07
1662,45.0,2,3;9,2026-07-07
1663,60.0,2,6;12,2026-07-07
166A,40.0,2,3;9,2026-07-07
167A,140.0,2,3;9,2026-07-07
168A,20.0,1,1,2026-07-07
1716,40.0,1,6,2026-07-07
1717,44.0,1,3,2026-07-07
1718,300.0,2,6;12,2026-07-07
1719,84.0,2,3;9,2026-07-07
1720,43.0,2,3;9,2026-07-07
1721,135.0,2,3;9,2026-07-07
1723,56.0,2,3;9,2026-07-07
1724,30.0,2,6;12,2026-07-07
1736,98.0,2,3;9,2026-07-07
173A,45.0,1,3,2026-07-07
1758,65.0,1,1,2026-07-07
1762,144.0,2,3;9,2026-07-07
1764,117.0,1,6,2026-07-07
1766,400.0,1,4,2026-07-07
1768,50.0,1,3,2026-07-07
1770,68.0,2,3;9,2026-07-07
177A,10.0,1,3,2026-07-07
1780,36.0,2,3;9,2026-07-07
1786,14.5,2,3;9,2026-07-07
1787,260.0,1,3,2026-07-07
1788,70.0,1,6,2026-07-07
1793,74.0,1,3,2026-07-07
1795,110.0,1,9,2026-07-07
1798,38.0,1,3,2026-07-07
1799,160.0,1,3,2026-07-07
1801,380.0,2,3;9,2026-07-07
1802,94.0,2,3;9,2026-07-07
1803,77.0,2,3;9,2026-07-07
1807,80.0,2,3;9,2026-07-07
1808,100.0,2,3;9,2026-07-07
1810,70.0,2,3;9,2026-07-07
1811,110.0,1,3,2026-07-07
1812,146.0,2,3;9,2026-07-07
1813,115.0,2,3;9,2026-07-07
1814,186.0,2,3;9,2026-07-07
1815,223.0,1,3,2026-07-07
1820,250.0,2,3;9,2026-07-07
1822,38.0,1,3,2026-07-07
1826,60.0,1,3,2026-07-07
1827,25.0,1,3,2026-07-07
1828,100.0,1,3,2026-07-07
1833,300.0,2,3;9,2026-07-07
1835,152.0,2,3;9,2026-07-07
1840,10.0,1,10,2026-07-07
1844,11.5,1,7,2026-07-07
1847,125.0,2,3;9,2026-07-07
1848,25.0,1,3,2026-07-07
1850,8.0,1,3,2026-07-07
1852,45.0,2,3;9,2026-07-07
1853,14.0,1,3,2026-07-07
1860,60.0,2,3;9,2026-07-07
1861,50.0,2,3;9,2026-07-07
1866,30.0,1,3,2026-07-07
1867,110.0,1,3,2026-07-07
1870,100.0,2,3;9,2026-07-07
1871,101.0,2,3;9,2026-07-07
1873,12.0,2,4;10,2026-07-07
1878,163.0,2,3;9,2026-07-07
1879,77.0,2,3;9,2026-07-07
1882,90.0,2,3;9,2026-07-07
1885,77.0,2,3;9,2026-07-07
1887,22.0,2,5;11,2026-07-07
1888,145.0,1,3,2026-07-07
1893,52.0,2,3;9,2026-07-07
1897,50.0,1,12,2026-07-07
1898,75.0,2,3;9,2026-07-07
1899,260.0,1,12,2026-07-07
189A,20.0,1,5,2026-07-07
1904,198.0,2,3;9,2026-07-07
1905,62.0,2,3;9,2026-07-07
1909,90.0,2,3;9,2026-07-07
1911,50.0,2,6;12,2026-07-07
1914,30.0,1,3,2026-07-07
1921,24.0,1,3,2026-07-07
1925,131.0,2,3;9,2026-07-07
1926,146.0,2,3;9,2026-07-07
1928,145.0,2,1;7,2026-07-07
1929,50.0,2,3;9,2026-07-07
192A,50.0,1,5,2026-07-07
1930,48.0,2,3;9,2026-07-07
1934,78.0,2,3;9,2026-07-07
1938,97.0,2,3;9,2026-07-07
1939,84.0,2,3;9,2026-07-07
1941,140.0,2,3;9,2026-07-07
1942,130.0,2,3;9,2026-07-07
1944,240.0,2,3;9,2026-07-07
1945,77.0,2,3;9,2026-07-07
1946,76.0,2,3;9,2026-07-07
1948,100.0,2,3;9,2026-07-07
1950,127.0,1,3,2026-07-07
1951,80.0,2,3;9,2026-07-07
1952,120.0,2,3;9,2026-07-07
1959,220.0,2,3;9,2026-07-06
1960,55.0,1,3,2026-07-06
1961,65.0,2,3;9,2026-07-06
1963,52.0,1,3,2026-07-06
1964,180.0,1,3,2026-07-06
1965,176.0,2,3;9,2026-07-06
1966,70.0,1,3,2026-07-06
1967,77.0,1,3,2026-07-06
1968,75.0,1,3,2026-07-06
1969,123.0,2,3;9,2026-07-06
1972,64.0,2,3;9,2026-07-06
1975,144.0,2,3;9,2026-07-06
1976,65.0,2,3;9,2026-07-06
1979,119.0,2,3;9,2026-07-06
197A,28.0,2,6;12,2026-07-06
1980,85.0,2,3;9,2026-07-06
1981,52.0,1,3,2026-07-06
1982,110.0,2,3;9,2026-07-06
1992,85.0,1,3,2026-07-06
1994,20.0,2,6;12,2026-07-06
1997,95.0,1,8,2026-07-06
2001,68.0,2,3;9,2026-07-06
2002,65.0,2,3;9,2026-07-06
2003,70.0,2,3;9,2026-07-06
2004,140.0,2,3;9,2026-07-06
2009,49.0,1,12,2026-07-06
2053,76.0,2,3;9,2026-07-06
2055,6.0,1,3,2026-07-06
205A,63.39,1,5,2026-07-06
2060,52.0,2,3;9,2026-07-06
208A,35.0,1,6,2026-07-07
2108,260.0,1,3,2026-07-06
2109,140.0,2,3;9,2026-07-06
2112,16.0,2,3;9,2026-07-06
2114,19.0,2,3;9,2026-07-06
2117,119.0,2,3;9,2026-07-06
211A,180.0,1,7,2026-07-06
2120,5.3,1,3,2026-07-06
2121,125.0,2,3;9,2026-07-06
2122,30.0,1,9,2026-07-06
2124,38.0,2,6;12,2026-07-06
2127,29.0,2,3;9,2026-07-06
212A,46.0,2,4;10,2026-07-06
2130,35.0,1,3,2026-07-06
2134,600.0,1,3,2026-07-07
2136,71.0,1,3,2026-07-06
2138,15.0,1,3,2026-07-07
2139,14.0,1,3,2026-07-06
2146,164.81,1,3,2026-07-07
2148,50.0,1,3,2026-07-06
2152,26.0,1,3,2026-07-06
2153,69.0,2,5;11,2026-07-06
2154,85.0,2,6;12,2026-07-06
2156,6.0,1,3,2026-07-06
2157,26.0,2,2;8,2026-07-06
2158,3.0,1,3,2026-07-07
2162,9.0,1,3,2026-07-06
2163,86.0,2,1;7,2026-07-06
2164,3.0,1,8,2026-07-07
2168,75.0,1,5,2026-07-06
2169,74.0,2,6;12,2026-07-06
2170,16.4,2,6;12,2026-07-06
2173,27.0,2,6;12,2026-07-06
2175,30.5,1,3,2026-07-06
2179,33.0,2,3;9,2026-07-06
2180,24.0,2,6;12,2026-07-06
2181,13.0,2,3;9,2026-07-06
2183,8.0,1,3,2026-07-06
2185,55.0,2,3;9,2026-07-06
2186,33.0,2,2;8,2026-07-06
2193,8.0,1,12,2026-07-07
2195,5.0,1,12,2026-07-06
2198,24.0,1,10,2026-07-06
2201,70.0,2,3;9,2026-07-06
2204,75.0,1,3,2026-07-06
2206,95.0,2,6;12,2026-07-06
2207,80.0,2,3;9,2026-07-06
2208,44.0,2,3;9,2026-07-06
2209,38.0,1,3,2026-07-06
220A,30.0,1,9,2026-07-06
2211,30.0,1,12,2026-07-06
2212,60.0,1,12,2026-07-06
2216,33.0,2,6;12,2026-07-06
2217,16.0,2,1;7,2026-07-06
2220,24.0,2,3;9,2026-07-06
2221,32.0,1,3,2026-07-06
2222,35.0,1,3,2026-07-06
2224,7.0,1,3,2026-07-06
2226,55.0,1,3,2026-07-06
2229,69.0,1,3,2026-07-06
2264,25.0,2,3;9,2026-07-06
2266,20.0,1,12,2026-07-06
2267,72.0,2,3;9,2026-07-06
2268,60.0,2,6;12,2026-07-06
2269,110.0,2,3;9,2026-07-06
2270,100.0,1,3,2026-07-06
2281,80.0,2,3;9,2026-07-06
2282,180.0,1,3,2026-07-06
2286,45.0,1,3,2026-07-06
2288,80.0,2,3;9,2026-07-06
2291,15.0,1,3,2026-07-07
2292,110.0,2,2;8,2026-07-06
2293,20.0,1,3,2026-07-06
2294,85.0,1,4,2026-07-06
2296,155.0,2,3;9,2026-07-06
2300,11.0,2,2;8,2026-07-06
2301,75.0,2,4;10,2026-07-06
2303,26.0,1,5,2026-07-06
2304,35.0,2,3;9,2026-07-06
2305,50.0,1,2,2026-07-06
2307,39.0,1,3,2026-07-06
2311,32.0,2,6;12,2026-07-06
2315,200.0,1,3,2026-07-07
2317,18.0,2,3;9,2026-07-06
2325,110.0,2,6;12,2026-07-06
2326,100.0,2,3;9,2026-07-06
2327,87.0,2,3;9,2026-07-06
2329,27.06,2,3;9,2026-07-06
2330,78.0,1,12,2026-07-07
2331,33.0,2,3;9,2026-07-06
2332,61.0,1,3,2026-07-06
2335,46.0,2,3;9,2026-07-06
2337,15.5,1,2,2026-07-06
2340,6.0,1,3,2026-07-07
2341,5.0,1,2,2026-07-06
2342,3.0,1,3,2026-07-07
2345,7.0,1,10,2026-07-07
2349,30.0,1,3,2026-07-06
2351,3.0,1,3,2026-07-06
2353,9.0,1,7,2026-07-06
2354,30.0,2,2;8,2026-07-06
2359,60.0,2,3;9,2026-07-06
2371,54.0,2,3;9,2026-07-06
2373,17.0,2,4;10,2026-07-06
2375,2.0,1,10,2026-07-06
2376,15.0,1,3,2026-07-06
2378,13.0,2,3;9,2026-07-06
2379,97.0,2,2;8,2026-07-06
2384,105.0,1,12,2026-07-06
2385,5.0,1,6,2026-07-06
2388,100.0,1,9,2026-07-07
2391,44.0,2,1;7,2026-07-06
2393,74.0,1,3,2026-07-06
2395,50.0,2,3;9,2026-07-06
2404,3.0,1,8,2026-07-07
2408,37.0,2,6;12,2026-07-06
2410,125.0,1,9,2026-07-06
2411,25.0,2,3;9,2026-07-06
2413,1300.0,1,3,2026-07-07
2415,71.0,1,3,2026-07-06
2418,14.0,2,6;12,2026-07-06
2424,8.0,1,7,2026-07-06
2425,22.0,1,3,2026-07-06
2428,29.5,2,6;12,2026-07-06
2429,136.3,1,12,2026-07-06
2432,66.0,1,3,2026-07-07
2433,32.0,2,3;9,2026-07-06
2435,8.0,1,3,2026-07-06
2436,16.0,1,12,2026-07-06
2437,5.5,1,5,2026-07-06
2438,7.0,1,4,2026-07-06
2440,8.0,2,3;9,2026-07-07
2445,16.0,2,3;9,2026-07-06
2449,41.0,1,8,2026-07-06
2454,1.0,1,3,2026-07-07
2459,150.0,1,5,2026-07-07
2461,21.0,2,6;12,2026-07-06
2462,60.0,2,5;11,2026-07-06
2464,11.0,1,3,2026-07-06
2469,67.5,2,3;9,2026-07-06
246A,7.0,1,6,2026-07-06
2471,10.0,1,11,2026-07-06
2475,94.0,2,3;9,2026-07-06
2477,40.0,2,6;12,2026-07-06
2479,1.0,1,3,2026-07-06
2480,38.0,1,3,2026-07-06
2481,20.0,1,6,2026-07-06
2483,140.0,1,3,2026-07-06
2484,3.6,1,8,2026-07-07
2485,23.0,2,3;9,2026-07-06
2488,50.0,2,3;9,2026-07-06
2489,6.57,1,12,2026-07-06
2491,16.0,2,6;12,2026-07-06
2492,6.58,2,6;12,2026-07-06
2493,5.0,1,11,2026-07-06
2497,22.0,2,3;9,2026-07-06
2498,125.0,1,9,2026-07-06
2499,14.0,2,6;12,2026-07-06
2501,40.0,2,6;12,2026-07-06
2502,52.0,2,6;12,2026-07-06
2503,76.0,2,6;12,2026-07-06
250A,54.0,2,3;9,2026-07-06
2531,31.0,1,3,2026-07-06
2533,12.0,1,12,2026-07-06
253A,23.0,1,9,2026-07-06
255A,126.0,1,3,2026-07-06
256A,110.0,1,3,2026-07-06
2573,30.0,2,6;12,2026-07-06
2579,72.0,2,6;12,2026-07-06
2585,15.0,1,3,2026-07-06
2587,120.0,2,6;12,2026-07-06
2588,120.0,2,3;9,2026-07-06
2590,30.0,2,1;7,2026-07-06
2593,52.0,2,4;10,2026-07-06
2594,12.0,2,3;9,2026-07-06
2597,8.0,1,12,2026-07-06
2602,60.0,2,3;9,2026-07-06
2607,62.0,2,3;9,2026-07-06
2612,47.0,1,3,2026-07-06
2613,80.0,2,3;9,2026-07-06
261A,74.0,2,6;12,2026-07-06
262A,51.0,1,12,2026-07-06
2652,1.0,1,9,2026-07-06
2653,50.0,2,2;8,2026-07-06
2654,10.0,1,3,2026-07-06
2656,500.0,1,3,2026-07-07
2659,110.0,1,2,2026-07-06
2664,100.0,2,3;9,2026-07-06
2666,4.0,1,3,2026-07-06
2668,30.0,1,2,2026-07-06
2669,38.0,2,2;8,2026-07-06
2670,80.0,2,2;8,2026-07-06
2674,92.0,1,3,2026-07-06
2676,76.0,2,3;9,2026-07-06
2678,20.0,2,5;11,2026-07-06
2681,34.0,2,3;9,2026-07-06
2683,10.0,1,2,2026-07-06
2685,90.0,2,2;8,2026-07-06
2687,20.0,2,2;8,2026-07-06
2689,80.0,1,6,2026-07-06
268A,19.0,2,6;12,2026-07-06
2693,5.0,1,12,2026-07-06
2694,0.5,1,3,2026-07-07
2695,30.0,1,10,2026-07-06
2698,17.0,2,2;8,2026-07-06
2700,50.0,2,6;12,2026-07-06
2702,64.0,1,12,2026-07-06
2705,20.0,1,3,2026-07-06
2708,45.0,1,3,2026-07-06
2722,9.0,1,5,2026-07-06
2726,40.0,1,2,2026-07-06
2730,50.0,2,3;9,2026-07-06
2733,112.0,2,3;9,2026-07-06
2734,33.0,2,5;11,2026-07-06
2735,20.0,2,2;8,2026-07-06
2736,7.0,1,8,2026-07-06
2737,600.0,1,3,2026-07-06
2742,72.0,2,2;8,2026-07-06
2747,50.0,1,2,2026-07-06
2749,13.5,1,3,2026-07-06
274A,90.0,2,2;8,2026-07-06
2750,55.0,2,3;9,2026-07-06
2751,9.0,1,4,2026-07-06
2752,3.0,1,12,2026-07-06
2753,34.0,2,3;9,2026-07-06
2760,108.0,2,3;9,2026-07-06
2762,4.0,2,6;12,2026-07-07
2763,55.0,2,3;9,2026-07-06
2764,1.22,1,3,2026-07-06
2767,70.0,1,3,2026-07-06
2768,180.0,2,3;9,2026-07-06
2769,14.0,1,5,2026-07-06
276A,27.0,1,8,2026-07-06
2778,12.0,2,2;8,2026-07-07
2780,108.0,2,3;9,2026-07-06
2782,80.0,2,3;9,2026-07-06
2784,71.0,2,3;9,2026-07-06
2788,10.0,1,12,2026-07-06
2789,5.0,1,2,2026-07-06
2790,58.0,2,3;9,2026-07-06
2791,35.0,1,5,2026-07-06
2792,55.0,2,5;11,2026-07-06
2795,25.0,1,3,2026-07-06
