code,dividend,count,record_months,fetched_date,monthly,source
1305,79.4,1,,2026-08-11,0;0;0;0;0;0;79.4;0;0;0;0;0,yfinance
1306,7.9,1,,2026-08-11,0;0;0;0;0;0;7.9;0;0;0;0;0,yfinance
1308,80.0,1,,2026-08-11,0;0;0;0;0;0;80;0;0;0;0;0,yfinance
1311,48.0,1,,2026-08-11,0;0;0;0;0;0;48;0;0;0;0;0,yfinance
1319,13.733,1,,2026-08-11,0;0;0;0;0;0;13.733;0;0;0;0;0,yfinance
1320,800.0,1,,2026-08-11,0;0;0;0;0;0;800;0;0;0;0;0,yfinance
1321,812.0,1,,2026-08-11,0;0;0;0;0;0;812;0;0;0;0;0,yfinance
1325,12.1,1,,2026-08-11,0;0;0;0;0;0;12.1;0;0;0;0;0,yfinance
1329,86.0,2,,2026-08-11,0;44;0;0;0;0;0;42;0;0;0;0,yfinance
1330,829.0,1,,2026-08-11,0;0;0;0;0;0;829;0;0;0;0;0,yfinance
133A,33.0,6,,2026-08-11,3;0;7;0;4;0;7;0;5;0;7;0,yfinance
1343,92.9,4,,2026-08-11,0;25.5;0;0;23.7;0;0;20.6;0;0;23.1;0,yfinance
1345,85.52,6,,2026-08-11,15.27;0;21.62;0;7;0;13;0;21.29;0;7.34;0,yfinance
1346,791.0,2,,2026-08-11,368;0;0;0;0;0;423;0;0;0;0;0,yfinance
1348,78.0,2,,2026-08-11,35;0;0;0;0;0;43;0;0;0;0;0,yfinance
1349,468.07654,2,,2026-08-12,221.788;0;0;0;0;0;246.28854;0;0;0;0;0,yfinance
1358,621.0,1,,2026-08-12,0;0;0;0;0;0;621;0;0;0;0;0,yfinance
1364,68.0,2,,2026-08-12,0;33;0;0;0;0;0;35;0;0;0;0,yfinance
1369,815.0,2,,2026-08-12,355;0;0;0;0;0;460;0;0;0;0;0,yfinance
1397,770.0,2,,2026-08-12,0;0;0;410;0;0;0;0;0;360;0;0,yfinance
1398,88.00000000000001,4,,2026-08-12,0;0;32.2;0;0;13.7;0;0;29.2;0;0;12.9,yfinance
1399,74.0,4,,2026-08-12,4;0;0;34;0;0;6;0;0;30;0;0,yfinance
1473,73.5,2,,2026-08-12,32.3;0;0;0;0;0;41.2;0;0;0;0;0,yfinance
1474,619.0,2,,2026-08-12,291;0;0;0;0;0;328;0;0;0;0;0,yfinance
1475,7.800000000000001,2,,2026-08-12,0;3.4;0;0;0;0;0;4.4;0;0;0;0,yfinance
1476,90.0,4,,2026-08-12,0;24;0;0;23;0;0;20;0;0;23;0,yfinance
1477,76.0,2,,2026-08-12,0;36;0;0;0;0;0;40;0;0;0;0,yfinance
1478,146.0,2,,2026-08-12,0;58;0;0;0;0;0;88;0;0;0;0,yfinance
1479,837.0,2,,2026-08-12,380;0;0;0;0;0;457;0;0;0;0;0,yfinance
1480,637.0,2,,2026-08-12,0;0;0;330;0;0;0;0;0;307;0;0,yfinance
